,x,y,cluster,r,g,b
2338,11.720524000000001,-41.289864,19,0,170,143
10085,-82.28054,-53.78556999999999,43,235,0,0
8564,27.130518,46.750122,17,0,168,175
47269,44.09393,40.041453999999995,3,122,0,138
44381,-15.392679000000001,-57.854588,25,0,193,0
2329,-7.786040299999999,54.6684,47,204,44,44
19136,22.332714000000003,76.74663000000001,23,0,166,0
59667,-31.032171,68.07969,22,0,154,7
40203,13.709123000000002,21.656857000000002,29,0,249,0
76839,47.33279,-35.583076,20,0,167,114
45699,-4.22941,-45.6442,24,0,180,0
19027,-9.040428,71.40986,1,46,0,53
24239,-53.980206,42.960056,39,255,157,0
60108,-49.497386999999996,-3.3930983999999995,27,0,223,0
20692,-45.393887,61.89074300000001,13,0,127,221
33134,-23.083298000000003,62.72636800000001,22,0,154,7
67047,-6.998435499999999,-6.9240866,33,211,246,0
59811,-71.23461,45.19823,13,0,127,221
15687,57.96161,-27.332392,42,249,0,0
53127,-78.57848,-29.751155999999998,8,0,0,181
25283,19.528614,-3.560897,48,204,124,124
31787,-45.743266999999996,-19.796979999999998,5,130,0,153
7040,-9.615875,-67.9288,25,0,193,0
21174,27.340132,47.073917,17,0,168,175
831,-47.66168,-20.240532,5,130,0,153
